RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16
-0.019091532,-0.30615488,0.19575761,0.19103162,0.38414302,0.30004612,0.008642946,0.26623902,0.13897817,-0.14534214,0.0040453942,0.06582599,0.048816018,-0.30138567,0.3189383,-0.51806766,-0.01672411,-0.30174303,0.19871521,0.18521786,0.38923836,0.3038473,0.008130789,0.26368332,0.13485885,-0.1410141,0.013290763,0.062945366,0.049617767,-0.305009,0.31781578,-0.51742554
-0.0051869415,-0.30060098,0.19027102,0.1775144,0.3868125,0.30729967,0.0059690243,0.26790452,0.12502323,-0.13981433,0.00969802,0.05766816,0.055731304,-0.30385885,0.3296293,-0.518261,-0.017328262,-0.3016019,0.19820976,0.18503761,0.3896942,0.30390453,0.007306576,0.26382446,0.13493359,-0.14145207,0.013216972,0.06349182,0.04982996,-0.30537856,0.31894112,-0.51698685
-0.010811901,-0.29726735,0.1974683,0.17804262,0.3947874,0.3048538,0.0021403558,0.26330876,0.12394241,-0.14715138,0.01879659,0.06666886,0.04953695,-0.30328792,0.3252772,-0.5163187,-0.017577171,-0.30159712,0.19708443,0.18504238,0.39065266,0.3035307,0.0067248344,0.2635727,0.13528442,-0.141361,0.012744546,0.06374836,0.049817085,-0.30560338,0.31949043,-0.5173836
-0.016778737,-0.29868457,0.20291029,0.18189399,0.38906837,0.30653602,0.0060757515,0.26313344,0.13645725,-0.13792624,0.01402,0.062426183,0.043936916,-0.3090477,0.31904766,-0.5166537,-0.017298698,-0.3015051,0.19674492,0.18489933,0.391016,0.30268288,0.0066292286,0.26377296,0.13586831,-0.14155293,0.0125460625,0.06365204,0.050155163,-0.30594873,0.31983566,-0.5177269
-0.026636403,-0.30236718,0.20403394,0.1802171,0.3893469,0.30286428,0.003553376,0.27070853,0.13538559,-0.14832126,0.011786973,0.06597944,0.05048703,-0.3023091,0.31288934,-0.5168303,-0.01746273,-0.3016448,0.19687271,0.18488598,0.39079285,0.30244637,0.0069417953,0.26360226,0.13553047,-0.14190245,0.012285709,0.063794136,0.05029726,-0.3064692,0.31987762,-0.51792145
-0.017460562,-0.2995672,0.19848238,0.19129355,0.39101776,0.3052533,0.0018149386,0.26277432,0.13186978,-0.14263286,0.019203018,0.068815365,0.037391447,-0.30532533,0.3173589,-0.5197031,-0.017689705,-0.30168295,0.19646645,0.18557262,0.39147377,0.30257893,0.006989956,0.26312256,0.13554883,-0.14197326,0.012025118,0.06366062,0.050588608,-0.30649197,0.31975555,-0.51804733
-0.013955615,-0.3007955,0.19509996,0.18496585,0.40394104,0.30092877,0.0142254885,0.26285848,0.12805514,-0.14038283,0.017940989,0.05424234,0.046598215,-0.29936975,0.31717998,-0.5195297,-0.017629147,-0.30133057,0.19676018,0.18560696,0.39162064,0.30211163,0.007068157,0.2630968,0.13535416,-0.1418171,0.012069225,0.06292534,0.05045557,-0.30668712,0.31987,-0.518631
-0.01326494,-0.3022478,0.19911672,0.1794353,0.3983207,0.3011596,0.007172874,0.2648368,0.13177717,-0.14645383,0.0070321257,0.06429492,0.05139684,-0.30401897,0.31337833,-0.52006507,-0.017851353,-0.301466,0.1967144,0.18554878,0.39149094,0.30230522,0.006904125,0.26294422,0.13588655,-0.14225554,0.0123022795,0.06292343,0.050536156,-0.30637383,0.3201065,-0.5188217
-0.013613959,-0.2992484,0.20596318,0.19163214,0.3957211,0.3021236,0.009036933,0.26017168,0.13964035,-0.14593077,0.013317063,0.057423223,0.056833018,-0.30549634,0.32341087,-0.50997186,-0.017868996,-0.30177307,0.19614601,0.18553925,0.39220047,0.30262566,0.006474495,0.26256657,0.13612854,-0.14233732,0.012035012,0.06304264,0.050539017,-0.3065307,0.3203621,-0.51852417
-0.02651317,-0.293097,0.20216064,0.18456219,0.3968494,0.29821092,0.0067646103,0.2706747,0.13592175,-0.1367545,0.02041753,0.062186617,0.05360536,-0.306962,0.31028476,-0.5219534,-0.018012047,-0.3015232,0.19563103,0.1857462,0.3924837,0.3028183,0.005990505,0.2625885,0.13643932,-0.14203024,0.012253284,0.062532425,0.050754547,-0.30702496,0.3205185,-0.5186081
